timestamp,memory_for_plot,rolling_avg
2026-01-06 08:00:00,45,45.0
2026-01-06 09:00:00,48,48.0
2026-01-06 10:00:00,52,52.0
2026-01-06 11:00:00,58,58.0
2026-01-06 12:00:00,54,54.0
2026-01-06 13:00:00,51,51.0
2026-01-06 14:00:00,61,61.0
2026-01-06 15:00:00,68,68.0
2026-01-06 16:00:00,65,65.0
2026-01-06 17:00:00,52,52.0
2026-01-07 08:00:00,44,44.0
2026-01-07 09:00:00,47,47.0
2026-01-07 10:00:00,51,51.0
2026-01-07 11:00:00,56,56.0
2026-01-07 12:00:00,53,53.0
2026-01-07 13:00:00,50,50.0
2026-01-07 14:00:00,72,72.0
2026-01-07 15:00:00,78,78.0
2026-01-07 16:00:00,74,74.0
2026-01-07 17:00:00,55,55.0
2026-01-08 08:00:00,43,43.0
2026-01-08 09:00:00,46,46.0
2026-01-08 10:00:00,50,50.0
2026-01-08 11:00:00,54,54.0
2026-01-08 12:00:00,52,52.0
2026-01-08 13:00:00,49,49.0
2026-01-08 14:00:00,57,57.0
2026-01-08 15:00:00,60,60.0
2026-01-08 16:00:00,58,58.0
2026-01-08 17:00:00,50,50.0
2026-01-09 08:00:00,44,44.0
2026-01-09 09:00:00,48,48.0
2026-01-09 10:00:00,75,75.0
2026-01-09 11:00:00,82,82.0
2026-01-09 12:00:00,79,79.0
2026-01-09 13:00:00,76,76.0
2026-01-09 14:00:00,81,81.0
2026-01-09 15:00:00,85,85.0
2026-01-09 16:00:00,83,83.0
2026-01-09 17:00:00,62,62.0
2026-01-10 08:00:00,45,45.0
2026-01-10 09:00:00,47,47.0
2026-01-10 10:00:00,51,51.0
2026-01-10 11:00:00,55,55.0
2026-01-10 12:00:00,52,52.0
2026-01-10 13:00:00,49,49.0
2026-01-10 14:00:00,58,58.0
2026-01-10 15:00:00,63,63.0
2026-01-10 16:00:00,60,60.0
2026-01-10 17:00:00,51,51.0
2026-01-13 08:00:00,43,43.0
2026-01-13 09:00:00,46,46.0
2026-01-13 10:00:00,50,50.0
2026-01-13 11:00:00,54,54.0
2026-01-13 12:00:00,51,51.0
2026-01-13 13:00:00,48,48.0
2026-01-13 14:00:00,66,66.0
2026-01-13 15:00:00,71,71.0
2026-01-13 16:00:00,68,68.0
2026-01-13 17:00:00,53,53.0
2026-01-14 08:00:00,42,42.0
2026-01-14 09:00:00,45,45.0
2026-01-14 10:00:00,49,49.0
2026-01-14 11:00:00,53,53.0
2026-01-14 12:00:00,50,50.0
2026-01-14 13:00:00,47,47.0
2026-01-14 14:00:00,56,56.0
2026-01-14 15:00:00,59,59.0
2026-01-14 16:00:00,57,57.0
2026-01-14 17:00:00,49,49.0
2026-01-15 08:00:00,44,44.0
2026-01-15 09:00:00,47,47.0
2026-01-15 10:00:00,73,73.0
2026-01-15 11:00:00,81,81.0
2026-01-15 12:00:00,77,77.0
2026-01-15 13:00:00,79,79.0
2026-01-15 14:00:00,86,86.0
2026-01-15 15:00:00,88,88.0
2026-01-15 16:00:00,84,84.0
2026-01-15 17:00:00,64,64.0
